"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"a[1] ABCN-WP",-1.55475252818182,-1.556305,-1.57979829438478,11000,0.95,-2.25839,-0.843376,NA,NA,NA,NA,NA,NA,NA
"a[2] AmrcnRG",-2.58965194363636,-2.59082,-2.61143805095995,11000,0.95,-3.18519,-1.96377,NA,NA,NA,NA,NA,NA,NA
"a[3] Gallup",-2.70284304,-2.703225,-2.74685574590847,10544.9,0.95,-3.48225,-1.87625,NA,NA,NA,NA,NA,NA,NA
"a[4] GrvsMrk",-2.13790479727273,-2.13056,-2.09777516770964,11000,0.95,-2.98699,-1.2281,NA,NA,NA,NA,NA,NA,NA
"a[5] HrrsI&A",-2.29293738090909,-2.292605,-2.3154988654196,11325.8,0.95,-2.76497,-1.81061,NA,NA,NA,NA,NA,NA,NA
"a[6] MrstCll",-2.85205700354545,-2.844675,-2.87294917160117,11000,0.95,-3.68607,-1.98238,NA,NA,NA,NA,NA,NA,NA
"a[7] Ms-DP&S",-5.60017237363636,-5.599915,-5.5413477202874,10186.8,0.95,-6.19301,-5.0261,NA,NA,NA,NA,NA,NA,NA
"a[8] PblcPlP",-1.15162726845455,-1.15092,-1.16368177825753,11000,0.95,-1.59243,-0.724473,NA,NA,NA,NA,NA,NA,NA
"a[9] QnnpcUn",-4.10038538909091,-4.103735,-4.15319990984039,11000,0.95,-4.74276,-3.47243,NA,NA,NA,NA,NA,NA,NA
"a[10] RRp-POR",-1.76545520072727,-1.76624,-1.80114020614347,10353.9,0.95,-2.19483,-1.36308,NA,NA,NA,NA,NA,NA,NA
"a[11] Rsr2000",-4.38313806818182,-4.385415,-4.41591925779175,11000,0.95,-4.98275,-3.793,NA,NA,NA,NA,NA,NA,NA
"a[12] SrvyMnk",-6.50590968545455,-6.506855,-6.5284618944044,11000,0.95,-6.88544,-6.08411,NA,NA,NA,NA,NA,NA,NA
"a[13] SrvyUSA",-2.47326892818182,-2.472415,-2.47181881923789,10622.4,0.95,-2.80616,-2.1384,NA,NA,NA,NA,NA,NA,NA
"a[14] StrVLLC",-1.50916250624455,-1.509195,-1.47665244531013,8320.9,0.95,-2.49281,-0.600559,NA,NA,NA,NA,NA,NA,NA
"a[15] TCJRsrc",1.00542306387686,0.979357,0.857776184895052,6119.6,0.95,-0.244561,2.30266,NA,NA,NA,NA,NA,NA,NA
"a[16] YouGov",-2.99834780090909,-2.99709,-2.99593714036474,11000,0.95,-3.45823,-2.56398,NA,NA,NA,NA,NA,NA,NA
"a[17] ZIn-JZA",-3.19070378454545,-3.1901,-3.18563397855824,11000,0.95,-3.5581,-2.81708,NA,NA,NA,NA,NA,NA,NA
"aMet[1] ABCN-WP",-0.866165720309091,-0.867438,-0.878662075943138,11000,0.95,-1.2834,-0.414382,NA,NA,NA,NA,NA,NA,NA
"aMet[2] AmrcnRG",-0.626267099636364,-0.624682,-0.651442610999716,11304.2,0.95,-0.870938,-0.403628,NA,NA,NA,NA,NA,NA,NA
"aMet[3] Gallup",-0.728328334272727,-0.7285455,-0.732632700378236,10624.1,0.95,-0.946356,-0.514947,NA,NA,NA,NA,NA,NA,NA
"aMet[4] GrvsMrk",-0.353859732555,-0.35358,-0.371342530913021,11000,0.95,-0.644598,-0.0643305,NA,NA,NA,NA,NA,NA,NA
"aMet[5] HrrsI&A",-0.661538299,-0.6618435,-0.662031250043832,12721,0.95,-0.843533,-0.480155,NA,NA,NA,NA,NA,NA,NA
"aMet[6] MrstCll",-0.604333220818182,-0.5981705,-0.575421070456948,11000,0.95,-0.921215,-0.304162,NA,NA,NA,NA,NA,NA,NA
"aMet[7] Ms-DP&S",-0.766999675272727,-0.767197,-0.760951051481647,9855.4,0.95,-0.89415,-0.633475,NA,NA,NA,NA,NA,NA,NA
"aMet[8] PblcPlP",-0.867035222090909,-0.8675565,-0.870753239569229,11000,0.95,-1.07382,-0.667871,NA,NA,NA,NA,NA,NA,NA
"aMet[9] QnnpcUn",-0.549542596909091,-0.5492235,-0.549622443845105,11000,0.95,-0.740919,-0.362988,NA,NA,NA,NA,NA,NA,NA
"aMet[10] RRp-POR",-0.219126433818182,-0.2190015,-0.213795336648331,10442.6,0.95,-0.311318,-0.127887,NA,NA,NA,NA,NA,NA,NA
"aMet[11] Rsr2000",-0.479697742218182,-0.47975,-0.483786098237137,10634.3,0.95,-0.702939,-0.281316,NA,NA,NA,NA,NA,NA,NA
"aMet[12] SrvyMnk",-0.696982094272727,-0.696417,-0.692355870688966,11504.6,0.95,-0.820899,-0.577313,NA,NA,NA,NA,NA,NA,NA
"aMet[13] SrvyUSA",-0.764030812636364,-0.7640405,-0.760662466436338,11000,0.95,-0.891193,-0.645805,NA,NA,NA,NA,NA,NA,NA
"aMet[14] StrVLLC",-0.00574329491409091,-0.00287472,0.0240856712811367,8167,0.95,-0.254156,0.248262,NA,NA,NA,NA,NA,NA,NA
"aMet[15] TCJRsrc",-0.510919319135455,-0.5137835,-0.512201862242335,6068.8,0.95,-0.838768,-0.176855,NA,NA,NA,NA,NA,NA,NA
"aMet[16] YouGov",-0.776311460090909,-0.775025,-0.777896086586145,11000,0.95,-0.920102,-0.636107,NA,NA,NA,NA,NA,NA,NA
"aMet[17] ZIn-JZA",-0.398676306363636,-0.398187,-0.393511060323793,10648.7,0.95,-0.497655,-0.299676,NA,NA,NA,NA,NA,NA,NA
"aSigma",3.46837772636364,3.38533,3.14197450629525,11000,0.95,2.32279,4.71033,NA,NA,NA,NA,NA,NA,NA
"ySigma",1.68758196181818,1.68697,1.67504183636209,9849,0.95,1.56836,1.8066,NA,NA,NA,NA,NA,NA,NA
"nu",5.54123279272727,5.40962,5.20258797425683,9826.8,0.95,3.93258,7.4478,NA,NA,NA,NA,NA,NA,NA
"TCJRsrc.v.YouGov",0.265392140955455,0.2616935,0.255655745551505,6625.8,0.95,-0.092228,0.618668,0,92.8909090909091,-1,1,0,100,0
"RRp-POR.v.QnnpcUn",0.330416163090909,0.3303875,0.329216773627643,11000,0.95,0.12864,0.548591,0,99.8818181818182,-1,1,0,100,0
"GrvsMrk.v.SrvyUSA",0.410171080081364,0.410971,0.406141943330362,11000,0.95,0.097742,0.727806,0,99.4454545454546,-1,1,0,99.9727272727273,0.0272727272727273
